,operatetime,_c1,day,hour,period,day_type,timestamp
0,2022053023,739,885,23,3,1,1653922800.0
1,2022053022,1668,885,22,2,1,1653919200.0
2,2022053021,2867,885,21,2,1,1653915600.0
3,2022053020,4704,885,20,2,1,1653912000.0
4,2022053019,8361,885,19,2,1,1653908400.0
5,2022053018,17339,885,18,1,1,1653904800.0
6,2022053017,34472,885,17,1,1,1653901200.0
7,2022053016,45723,885,16,1,1,1653897600.0
8,2022053015,51817,885,15,1,1,1653894000.0
9,2022053014,52422,885,14,1,1,1653890400.0
10,2022053013,18919,885,13,1,1,1653886800.0
11,2022053012,10890,885,12,1,1,1653883200.0
12,2022053011,32785,885,11,1,1,1653879600.0
13,2022053010,47085,885,10,1,1,1653876000.0
14,2022053009,69885,885,9,1,1,1653872400.0
15,2022053008,77169,885,8,1,1,1653868800.0
16,2022053007,4957,885,7,2,1,1653865200.0
17,2022053006,380,885,6,3,1,1653861600.0
18,2022053005,89,885,5,3,1,1653858000.0
19,2022053004,24,885,4,3,1,1653854400.0
20,2022053003,26,885,3,3,1,1653850800.0
21,2022053002,28,885,2,3,1,1653847200.0
22,2022053001,81,885,1,3,1,1653843600.0
23,2022053000,226,885,0,3,1,1653840000.0
24,2022052923,539,884,23,3,2,1653836400.0
25,2022052922,1063,884,22,2,2,1653832800.0
26,2022052921,1530,884,21,2,2,1653829200.0
27,2022052920,1690,884,20,2,2,1653825600.0
28,2022052919,1854,884,19,2,2,1653822000.0
29,2022052918,2649,884,18,1,2,1653818400.0
30,2022052917,3743,884,17,1,2,1653814800.0
31,2022052916,4328,884,16,1,2,1653811200.0
32,2022052915,4388,884,15,1,2,1653807600.0
33,2022052914,3776,884,14,1,2,1653804000.0
34,2022052913,2660,884,13,1,2,1653800400.0
35,2022052912,2571,884,12,1,2,1653796800.0
36,2022052911,4150,884,11,1,2,1653793200.0
37,2022052910,5442,884,10,1,2,1653789600.0
38,2022052909,6051,884,9,1,2,1653786000.0
39,2022052908,4191,884,8,1,2,1653782400.0
40,2022052907,619,884,7,2,2,1653778800.0
41,2022052906,137,884,6,3,2,1653775200.0
42,2022052905,32,884,5,3,2,1653771600.0
43,2022052904,12,884,4,3,2,1653768000.0
44,2022052903,19,884,3,3,2,1653764400.0
45,2022052902,33,884,2,3,2,1653760800.0
46,2022052901,58,884,1,3,2,1653757200.0
47,2022052900,181,884,0,3,2,1653753600.0
48,2022052823,482,883,23,3,2,1653750000.0
49,2022052822,844,883,22,2,2,1653746400.0
50,2022052821,1261,883,21,2,2,1653742800.0
51,2022052820,1634,883,20,2,2,1653739200.0
52,2022052819,1911,883,19,2,2,1653735600.0
53,2022052818,3179,883,18,1,2,1653732000.0
54,2022052817,5019,883,17,1,2,1653728400.0
55,2022052816,5976,883,16,1,2,1653724800.0
56,2022052815,6311,883,15,1,2,1653721200.0
57,2022052814,5503,883,14,1,2,1653717600.0
58,2022052813,3557,883,13,1,2,1653714000.0
59,2022052812,3753,883,12,1,2,1653710400.0
60,2022052811,7284,883,11,1,2,1653706800.0
61,2022052810,9523,883,10,1,2,1653703200.0
62,2022052809,10950,883,9,1,2,1653699600.0
63,2022052808,8439,883,8,1,2,1653696000.0
64,2022052807,1133,883,7,2,2,1653692400.0
65,2022052806,187,883,6,3,2,1653688800.0
66,2022052805,45,883,5,3,2,1653685200.0
67,2022052804,26,883,4,3,2,1653681600.0
68,2022052803,16,883,3,3,2,1653678000.0
69,2022052802,50,883,2,3,2,1653674400.0
70,2022052801,89,883,1,3,2,1653670800.0
71,2022052800,262,883,0,3,2,1653667200.0
