,operatetime,_c1,day,hour,period,day_type,timestamp
0,2022052523,760,880,23,3,1,1653490800.0
1,2022052522,1489,880,22,2,1,1653487200.0
2,2022052521,2504,880,21,2,1,1653483600.0
3,2022052520,3796,880,20,2,1,1653480000.0
4,2022052519,6706,880,19,2,1,1653476400.0
5,2022052518,14619,880,18,1,1,1653472800.0
6,2022052517,31996,880,17,1,1,1653469200.0
7,2022052516,43536,880,16,1,1,1653465600.0
8,2022052515,50642,880,15,1,1,1653462000.0
9,2022052514,51348,880,14,1,1,1653458400.0
10,2022052513,18087,880,13,1,1,1653454800.0
11,2022052512,9904,880,12,1,1,1653451200.0
12,2022052511,30963,880,11,1,1,1653447600.0
13,2022052510,44620,880,10,1,1,1653444000.0
14,2022052509,65755,880,9,1,1,1653440400.0
15,2022052508,73379,880,8,1,1,1653436800.0
16,2022052507,4397,880,7,2,1,1653433200.0
17,2022052506,374,880,6,3,1,1653429600.0
18,2022052505,89,880,5,3,1,1653426000.0
19,2022052504,32,880,4,3,1,1653422400.0
20,2022052503,33,880,3,3,1,1653418800.0
21,2022052502,52,880,2,3,1,1653415200.0
22,2022052501,107,880,1,3,1,1653411600.0
23,2022052500,335,880,0,3,1,1653408000.0
24,2022052423,760,879,23,3,1,1653404400.0
25,2022052422,1465,879,22,2,1,1653400800.0
26,2022052421,2511,879,21,2,1,1653397200.0
27,2022052420,3801,879,20,2,1,1653393600.0
28,2022052419,7034,879,19,2,1,1653390000.0
29,2022052418,15183,879,18,1,1,1653386400.0
30,2022052417,32816,879,17,1,1,1653382800.0
31,2022052416,42268,879,16,1,1,1653379200.0
32,2022052415,50267,879,15,1,1,1653375600.0
33,2022052414,51030,879,14,1,1,1653372000.0
34,2022052413,18128,879,13,1,1,1653368400.0
35,2022052412,9514,879,12,1,1,1653364800.0
36,2022052411,30121,879,11,1,1,1653361200.0
37,2022052410,44836,879,10,1,1,1653357600.0
38,2022052409,65563,879,9,1,1,1653354000.0
39,2022052408,74235,879,8,1,1,1653350400.0
40,2022052407,4291,879,7,2,1,1653346800.0
41,2022052406,458,879,6,3,1,1653343200.0
42,2022052405,70,879,5,3,1,1653339600.0
43,2022052404,14,879,4,3,1,1653336000.0
44,2022052403,13,879,3,3,1,1653332400.0
45,2022052402,38,879,2,3,1,1653328800.0
46,2022052401,66,879,1,3,1,1653325200.0
47,2022052400,257,879,0,3,1,1653321600.0
48,2022052323,678,878,23,3,1,1653318000.0
49,2022052322,1443,878,22,2,1,1653314400.0
50,2022052321,2448,878,21,2,1,1653310800.0
51,2022052320,3771,878,20,2,1,1653307200.0
52,2022052319,7220,878,19,2,1,1653303600.0
53,2022052318,14684,878,18,1,1,1653300000.0
54,2022052317,32103,878,17,1,1,1653296400.0
55,2022052316,44321,878,16,1,1,1653292800.0
56,2022052315,50258,878,15,1,1,1653289200.0
57,2022052314,52215,878,14,1,1,1653285600.0
58,2022052313,18142,878,13,1,1,1653282000.0
59,2022052312,9563,878,12,1,1,1653278400.0
60,2022052311,31733,878,11,1,1,1653274800.0
61,2022052310,46471,878,10,1,1,1653271200.0
62,2022052309,67935,878,9,1,1,1653267600.0
63,2022052308,73268,878,8,1,1,1653264000.0
