operatetime,_c1
2022052523,760
2022052522,1489
2022052521,2504
2022052520,3796
2022052519,6706
2022052518,14619
2022052517,31996
2022052516,43536
2022052515,50642
2022052514,51348
2022052513,18087
2022052512,9904
2022052511,30963
2022052510,44620
2022052509,65755
2022052508,73379
2022052507,4397
2022052506,374
2022052505,89
2022052504,32
2022052503,33
2022052502,52
2022052501,107
2022052500,335
2022052423,760
2022052422,1465
2022052421,2511
2022052420,3801
2022052419,7034
2022052418,15183
2022052417,32816
2022052416,42268
2022052415,50267
2022052414,51030
2022052413,18128
2022052412,9514
2022052411,30121
2022052410,44836
2022052409,65563
2022052408,74235
2022052407,4291
2022052406,458
2022052405,70
2022052404,14
2022052403,13
2022052402,38
2022052401,66
2022052400,257
2022052323,678
2022052322,1443
2022052321,2448
2022052320,3771
2022052319,7220
2022052318,14684
2022052317,32103
2022052316,44321
2022052315,50258
2022052314,52215
2022052313,18142
2022052312,9563
2022052311,31733
2022052310,46471
2022052309,67935
2022052308,73268
2022052307,4392
2022052306,319
2022052305,52
2022052304,18
2022052303,13
2022052302,38
2022052301,81
2022052300,241
2022052223,483
2022052222,1059
2022052221,1390
2022052220,1664
2022052219,1903
2022052218,2519
2022052217,3665
2022052216,4301
2022052215,4388
2022052214,3696
2022052213,2593
2022052212,2275
2022052211,3595
2022052210,4840
2022052209,5387
2022052208,3983
2022052207,585
2022052206,103
2022052205,46
2022052204,4
2022052203,14
2022052202,31
2022052201,52
2022052200,170
2022052123,408
2022052122,790
2022052121,1058
2022052120,1522
2022052119,1925
2022052118,2801
2022052117,4401
2022052116,5226
2022052115,5557
2022052114,4612
2022052113,3066
2022052112,3175
2022052111,5840
2022052110,7923
2022052109,9268
2022052108,7189
2022052107,1051
2022052106,219
2022052105,109
2022052104,26
2022052103,75
2022052102,35
2022052101,134
2022052100,246
2022052023,694
2022052022,1239
2022052021,2008
2022052020,3309
2022052019,6303
2022052018,14304
2022052017,30856
2022052016,40873
2022052015,47169
2022052014,47142
2022052013,17629
2022052012,9698
2022052011,28778
2022052010,43165
2022052009,61854
2022052008,66670
2022052007,4542
2022052006,353
2022052005,134
2022052004,27
2022052003,89
2022052002,49
2022052001,218
2022052000,313
2022051923,756
2022051922,1750
2022051921,2440
2022051920,3708
2022051919,6458
2022051918,13647
2022051917,30898
2022051916,40366
2022051915,47330
2022051914,48861
2022051913,17535
2022051912,8650
2022051911,27198
2022051910,41013
2022051909,63124
2022051908,66470
2022051907,4257
2022051906,351
2022051905,114
2022051904,31
2022051903,90
2022051902,28
2022051901,154
2022051900,259
2022051823,698
2022051822,1442
2022051821,2386
2022051820,3486
2022051819,6323
2022051818,13221
2022051817,30111
2022051816,41567
2022051815,47679
2022051814,47668
2022051813,17850
2022051812,8913
2022051811,27512
2022051810,41424
2022051809,63533
2022051808,72209
2022051807,4406
2022051806,318
2022051805,109
2022051804,32
2022051803,67
2022051802,43
2022051801,140
2022051800,254
2022051723,733
2022051722,1372
2022051721,2263
2022051720,3565
2022051719,6515
2022051718,13789
2022051717,31099
2022051716,40571
2022051715,46860
2022051714,48303
2022051713,17544
2022051712,8930
2022051711,28299
2022051710,43034
2022051709,59328
2022051708,71600
2022051707,4659
2022051706,372
2022051705,119
2022051704,27
2022051703,73
2022051702,33
2022051701,127
2022051700,213
2022051623,662
2022051622,1528
2022051621,2588
2022051620,3757
2022051619,6614
2022051618,14069
2022051617,29867
2022051616,40427
2022051615,47696
2022051614,48852
2022051613,17566
2022051612,8957
2022051611,29235
2022051610,44558
2022051609,66689
2022051608,71489
2022051607,4528
